Winner,Moves,Duration (s),Red_Agent,Blue_Agent,Red_Heuristic,Blue_Heuristic,Depth_R,Depth_B
B,36,0.08,random,minimax,N/A,count_difference,N/A,2
B,100,0.31,random,minimax,N/A,count_difference,N/A,2
B,82,0.26,random,minimax,N/A,count_difference,N/A,2
B,8,0.02,random,minimax,N/A,count_difference,N/A,2
B,96,0.34,random,minimax,N/A,count_difference,N/A,2
R,3,0.02,minimax,random,count_difference,N/A,2,N/A
R,29,0.11,minimax,random,count_difference,N/A,2,N/A
R,11,0.03,minimax,random,count_difference,N/A,2,N/A
R,3,0.01,minimax,random,count_difference,N/A,2,N/A
R,83,0.3,minimax,random,count_difference,N/A,2,N/A
B,56,1.13,random,minimax,N/A,count_difference,N/A,3
B,20,0.25,random,minimax,N/A,count_difference,N/A,3
B,72,1.95,random,minimax,N/A,count_difference,N/A,3
B,18,0.18,random,minimax,N/A,count_difference,N/A,3
B,34,0.43,random,minimax,N/A,count_difference,N/A,3
R,35,0.49,minimax,random,count_difference,N/A,3,N/A
R,81,2.11,minimax,random,count_difference,N/A,3,N/A
R,67,2.26,minimax,random,count_difference,N/A,3,N/A
R,59,1.93,minimax,random,count_difference,N/A,3,N/A
R,75,2.36,minimax,random,count_difference,N/A,3,N/A
B,64,0.33,random,minimax,N/A,conversion_potential,N/A,2
B,68,0.34,random,minimax,N/A,conversion_potential,N/A,2
B,34,0.17,random,minimax,N/A,conversion_potential,N/A,2
B,4,0.01,random,minimax,N/A,conversion_potential,N/A,2
B,46,0.23,random,minimax,N/A,conversion_potential,N/A,2
R,53,0.3,minimax,random,conversion_potential,N/A,2,N/A
R,25,0.11,minimax,random,conversion_potential,N/A,2,N/A
R,49,0.25,minimax,random,conversion_potential,N/A,2,N/A
B,28,0.14,minimax,random,conversion_potential,N/A,2,N/A
R,79,0.51,minimax,random,conversion_potential,N/A,2,N/A
B,8,0.1,random,minimax,N/A,conversion_potential,N/A,3
B,68,2.6,random,minimax,N/A,conversion_potential,N/A,3
R,33,0.75,random,minimax,N/A,conversion_potential,N/A,3
B,32,0.78,random,minimax,N/A,conversion_potential,N/A,3
R,43,1.28,random,minimax,N/A,conversion_potential,N/A,3
R,37,1.19,minimax,random,conversion_potential,N/A,3,N/A
R,33,1.2,minimax,random,conversion_potential,N/A,3,N/A
B,48,1.34,minimax,random,conversion_potential,N/A,3,N/A
R,33,0.99,minimax,random,conversion_potential,N/A,3,N/A
R,99,5.63,minimax,random,conversion_potential,N/A,3,N/A
B,10,0.04,random,minimax,N/A,strategic_position,N/A,2
B,54,0.29,random,minimax,N/A,strategic_position,N/A,2
B,42,0.23,random,minimax,N/A,strategic_position,N/A,2
B,48,0.28,random,minimax,N/A,strategic_position,N/A,2
B,98,0.72,random,minimax,N/A,strategic_position,N/A,2
R,37,0.18,minimax,random,strategic_position,N/A,2,N/A
R,99,0.7,minimax,random,strategic_position,N/A,2,N/A
R,97,0.65,minimax,random,strategic_position,N/A,2,N/A
R,31,0.12,minimax,random,strategic_position,N/A,2,N/A
R,85,0.51,minimax,random,strategic_position,N/A,2,N/A
B,18,0.32,random,minimax,N/A,strategic_position,N/A,3
B,48,1.34,random,minimax,N/A,strategic_position,N/A,3
B,74,3.11,random,minimax,N/A,strategic_position,N/A,3
B,78,4.55,random,minimax,N/A,strategic_position,N/A,3
B,52,1.68,random,minimax,N/A,strategic_position,N/A,3
R,71,2.92,minimax,random,strategic_position,N/A,3,N/A
R,17,0.38,minimax,random,strategic_position,N/A,3,N/A
R,33,1.05,minimax,random,strategic_position,N/A,3,N/A
R,89,5.01,minimax,random,strategic_position,N/A,3,N/A
R,9,0.14,minimax,random,strategic_position,N/A,3,N/A
B,12,0.05,random,minimax,N/A,potential_chain_reactions,N/A,2
B,48,0.21,random,minimax,N/A,potential_chain_reactions,N/A,2
B,60,0.32,random,minimax,N/A,potential_chain_reactions,N/A,2
B,22,0.1,random,minimax,N/A,potential_chain_reactions,N/A,2
B,58,0.31,random,minimax,N/A,potential_chain_reactions,N/A,2
R,67,0.41,minimax,random,potential_chain_reactions,N/A,2,N/A
R,3,0.01,minimax,random,potential_chain_reactions,N/A,2,N/A
R,23,0.09,minimax,random,potential_chain_reactions,N/A,2,N/A
R,65,0.32,minimax,random,potential_chain_reactions,N/A,2,N/A
R,87,0.53,minimax,random,potential_chain_reactions,N/A,2,N/A
B,40,1.31,random,minimax,N/A,potential_chain_reactions,N/A,3
B,68,3.23,random,minimax,N/A,potential_chain_reactions,N/A,3
B,40,1.26,random,minimax,N/A,potential_chain_reactions,N/A,3
B,82,5.59,random,minimax,N/A,potential_chain_reactions,N/A,3
B,40,1.43,random,minimax,N/A,potential_chain_reactions,N/A,3
R,85,4.7,minimax,random,potential_chain_reactions,N/A,3,N/A
R,11,0.2,minimax,random,potential_chain_reactions,N/A,3,N/A
R,69,3.04,minimax,random,potential_chain_reactions,N/A,3,N/A
R,63,2.38,minimax,random,potential_chain_reactions,N/A,3,N/A
R,39,1.11,minimax,random,potential_chain_reactions,N/A,3,N/A
B,84,0.35,random,minimax,N/A,mobility,N/A,2
B,38,0.13,random,minimax,N/A,mobility,N/A,2
B,100,0.6,random,minimax,N/A,mobility,N/A,2
B,28,0.1,random,minimax,N/A,mobility,N/A,2
B,18,0.06,random,minimax,N/A,mobility,N/A,2
R,31,0.1,minimax,random,mobility,N/A,2,N/A
R,3,0.01,minimax,random,mobility,N/A,2,N/A
R,27,0.08,minimax,random,mobility,N/A,2,N/A
R,25,0.08,minimax,random,mobility,N/A,2,N/A
R,31,0.16,minimax,random,mobility,N/A,2,N/A
B,4,0.04,random,minimax,N/A,mobility,N/A,3
B,52,1.0,random,minimax,N/A,mobility,N/A,3
B,4,0.03,random,minimax,N/A,mobility,N/A,3
B,60,1.31,random,minimax,N/A,mobility,N/A,3
B,10,0.12,random,minimax,N/A,mobility,N/A,3
R,43,0.76,minimax,random,mobility,N/A,3,N/A
R,61,1.37,minimax,random,mobility,N/A,3,N/A
R,5,0.06,minimax,random,mobility,N/A,3,N/A
R,3,0.03,minimax,random,mobility,N/A,3,N/A
R,9,0.11,minimax,random,mobility,N/A,3,N/A
R,67,0.6,minimax,minimax,count_difference,count_difference,2,2
R,67,0.59,minimax,minimax,count_difference,count_difference,2,2
R,67,0.61,minimax,minimax,count_difference,count_difference,2,2
R,67,0.63,minimax,minimax,count_difference,count_difference,2,2
R,67,0.59,minimax,minimax,count_difference,count_difference,2,2
R,49,0.56,minimax,minimax,count_difference,conversion_potential,2,2
R,49,0.55,minimax,minimax,count_difference,conversion_potential,2,2
R,49,0.49,minimax,minimax,count_difference,conversion_potential,2,2
R,49,0.46,minimax,minimax,count_difference,conversion_potential,2,2
R,49,0.46,minimax,minimax,count_difference,conversion_potential,2,2
B,62,0.53,minimax,minimax,count_difference,strategic_position,2,2
B,62,0.46,minimax,minimax,count_difference,strategic_position,2,2
B,62,0.47,minimax,minimax,count_difference,strategic_position,2,2
B,62,0.45,minimax,minimax,count_difference,strategic_position,2,2
B,62,0.43,minimax,minimax,count_difference,strategic_position,2,2
B,76,0.62,minimax,minimax,count_difference,potential_chain_reactions,2,2
B,76,0.75,minimax,minimax,count_difference,potential_chain_reactions,2,2
B,76,0.83,minimax,minimax,count_difference,potential_chain_reactions,2,2
B,76,0.71,minimax,minimax,count_difference,potential_chain_reactions,2,2
B,76,0.71,minimax,minimax,count_difference,potential_chain_reactions,2,2
R,3,0.01,minimax,minimax,count_difference,mobility,2,2
R,3,0.01,minimax,minimax,count_difference,mobility,2,2
R,3,0.01,minimax,minimax,count_difference,mobility,2,2
R,3,0.01,minimax,minimax,count_difference,mobility,2,2
R,3,0.01,minimax,minimax,count_difference,mobility,2,2
B,46,0.51,minimax,minimax,conversion_potential,count_difference,2,2
B,46,0.51,minimax,minimax,conversion_potential,count_difference,2,2
B,46,0.51,minimax,minimax,conversion_potential,count_difference,2,2
B,46,0.56,minimax,minimax,conversion_potential,count_difference,2,2
B,46,0.57,minimax,minimax,conversion_potential,count_difference,2,2
R,37,0.44,minimax,minimax,conversion_potential,conversion_potential,2,2
R,37,0.44,minimax,minimax,conversion_potential,conversion_potential,2,2
R,37,0.41,minimax,minimax,conversion_potential,conversion_potential,2,2
R,37,0.36,minimax,minimax,conversion_potential,conversion_potential,2,2
R,37,0.37,minimax,minimax,conversion_potential,conversion_potential,2,2
B,44,0.52,minimax,minimax,conversion_potential,strategic_position,2,2
B,44,0.49,minimax,minimax,conversion_potential,strategic_position,2,2
B,44,0.49,minimax,minimax,conversion_potential,strategic_position,2,2
B,44,0.54,minimax,minimax,conversion_potential,strategic_position,2,2
B,44,0.55,minimax,minimax,conversion_potential,strategic_position,2,2
B,40,0.6,minimax,minimax,conversion_potential,potential_chain_reactions,2,2
B,40,0.56,minimax,minimax,conversion_potential,potential_chain_reactions,2,2
B,40,0.52,minimax,minimax,conversion_potential,potential_chain_reactions,2,2
B,40,0.54,minimax,minimax,conversion_potential,potential_chain_reactions,2,2
B,40,0.48,minimax,minimax,conversion_potential,potential_chain_reactions,2,2
B,18,0.11,minimax,minimax,conversion_potential,mobility,2,2
B,18,0.12,minimax,minimax,conversion_potential,mobility,2,2
B,18,0.14,minimax,minimax,conversion_potential,mobility,2,2
B,18,0.14,minimax,minimax,conversion_potential,mobility,2,2
B,18,0.14,minimax,minimax,conversion_potential,mobility,2,2
R,41,0.61,minimax,minimax,strategic_position,count_difference,2,2
R,41,0.56,minimax,minimax,strategic_position,count_difference,2,2
